Codigo;Nombre del proveedor;Tipo de servicio;Importe en soles;Mes;
T13868;COESTI S.A.       ;Servicios Publicos;14980.06;Marzo;
439918;Quimpac SA       ;Suministros para produccion;6570.24;Marzo;
439918;Quimpac SA       ;Suministros para produccion;72499.39;Marzo;
440302;Repsol Comercial SAC      ;Servicios Publicos;240131.93;Marzo;
440948;SOCIEDAD ELECTRICA DEL SUR OESTE S   ;Servicios Publicos;1575.3;Marzo;
441070;441070 ELECTRONOROESTE S.A      ;Servicios Publicos;12458.8;Marzo;
441071;ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;500.2;Marzo;
441078;EMP REG DE SERV PUB DE ELECT DL NOR;Servicios Publicos;46436.58;Marzo;
441127;ELECTRO DUNAS       ;Servicios Publicos;2826;Marzo;
441240;EMP.REG.SERV.PUB.ELECT.ELECTROSUR S       ;Servicios Publicos;3153.1;Marzo;
441333;ELECTROCENTRO        ;Servicios Publicos;5180.9;Marzo;
441557;MUNICIPALIDAD DISTRITAL DE LA ESPERANZA    ;Impuestos;78522.45;Marzo;
441724;Poma de Romero      ;Alquiler;5335;Marzo;
442439;SERVICIO DE ADMINISTRACION TRIBUTARIA DE TRUJILLO   ;Impuestos;13320.56;Marzo;
442600;MUNICIPALIDAD DISTRITAL DE SAN MATEO    ;Impuestos;16795.48;Marzo;
445227;EMPRESA MUNICIPAL AGUA POTABLE Y AL   ;Servicios Publicos;267.7;Marzo;
445399;ENT.PREST.SERVICIOS DE SANEAMIENTO      ;Servicios Publicos;670.9;Marzo;
464191;AUSA ADUANAS S.A.;Comex;660000;Marzo;
464191;AUSA ADUANAS S.A.;Comex;12618.67;Marzo;
471574;MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO    ;Impuestos;1324.64;Marzo;
482744;RELSA        ;Alquiler;58392.96;Marzo;
482744;RELSA        ;Alquiler;3332.42;Marzo;
440302;Repsol Comercial SAC      ;Servicios Publicos;74957.75;Marzo;
441070;441070 ELECTRONOROESTE S.A      ;Servicios Publicos;4104.6;Marzo;
441071;ENTIDAD PREST.DE SS.DE SANEAM. GRAU    ;Servicios Publicos;297.4;Marzo;
