FINFO,PERIODO,MES,NATURALEZA,PRODUCTO,APLICATIVO,NOMAREA,NUMERO,SALDO
2018/05,2018,MAY,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA CIB,27,24924
2018/05,2018,MAY,PASIVOS,VISTA PJ SSFF,CUENTA CORRIENTE,AREA B.INSTITUCIONAL,1,0
2018/05,2018,MAY,PASIVOS,VISTA PN RESTO,CUENTA CORRIENTE,AREA B.MINORISTA,266,5143
2018/06,2018,JUN,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.INSTITUCIONAL,4,156
2018/06,2018,JUN,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.MINORISTA,1582,19792
2018/06,2018,JUN,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA BCA.EMP. Y CORP,9,880
2018/06,2018,JUN,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA CIB,4,0
2018/06,2018,JUN,PASIVOS,CONTIAHORRO,CONTIAHORRO,AREA B.MINORISTA,308,1972
2018/06,2018,JUN,PASIVOS,CTS,C.T.S.,AREA B.MINORISTA,2624,1755
2018/06,2018,JUN,PASIVOS,CTS,C.T.S.,AREA DIST.RED MASIVA,108,7
2018/06,2018,JUN,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA B.MINORISTA,52987,113806
2018/06,2018,JUN,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA DIST.RED MASIVA,79,168
2018/06,2018,JUN,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA B.MINORISTA,1183,55972
2018/06,2018,JUN,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA DIST.RED MASIVA,1,0
2018/06,2018,JUN,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA B.MINORISTA,36111,146611
2018/06,2018,JUN,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA DIST.RED MASIVA,11,1
2018/06,2018,JUN,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA B.MINORISTA,35069,13328
2018/06,2018,JUN,PASIVOS,CUENTA SUELDO,CONTIAHORRO,AREA DIST.RED MASIVA,194,178
2018/06,2018,JUN,PASIVOS,CUENTA VIP,CUENTA CORRIENTE,AREA B.MINORISTA,280,20374
2018/06,2018,JUN,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.INSTITUCIONAL,26,279402
2018/06,2018,JUN,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA B.MINORISTA,16,26353
2018/06,2018,JUN,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA BCA.EMP. Y CORP,75,350219
2018/06,2018,JUN,PASIVOS,DEP. PLAZO PJ SSFF,CTA.PLAZO,AREA MERCADOS,322,2201818
2018/06,2018,JUN,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.INSTITUCIONAL,462,2182797
2018/06,2018,JUN,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA B.MINORISTA,145,150902
2018/06,2018,JUN,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,473,661644
2018/06,2018,JUN,PASIVOS,DEPOSITO A PLAZO PJ,CTA.PLAZO,AREA MERCADOS,2815,28718871
2018/06,2018,JUN,PASIVOS,DIVAS PJ,CTA.PLAZO,AREA B.INSTITUCIONAL,1,1747
2018/06,2018,JUN,PASIVOS,DIVAS PJ,CTA.PLAZO,AREA BCA.EMP. Y CORP,30,39792
2018/06,2018,JUN,PASIVOS,DIVAS PN,CTA.PLAZO,AREA B.INSTITUCIONAL,1,1068
2018/06,2018,JUN,PASIVOS,DIVAS PN,CTA.PLAZO,AREA B.MINORISTA,40,7613
2018/06,2018,JUN,PASIVOS,PLAZO PN,CTA.PLAZO,AREA B.MINORISTA,3115,302832
2018/06,2018,JUN,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA B.MINORISTA,11,0
2018/06,2018,JUN,PASIVOS,RESTO EMPRESAS,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,1,0
2018/06,2018,JUN,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.INSTITUCIONAL,15,50
2018/06,2018,JUN,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA B.MINORISTA,3135,41254
2018/06,2018,JUN,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA BCA.EMP. Y CORP,211,10358
2018/06,2018,JUN,PASIVOS,VISTA PJ,CUENTA CORRIENTE,AREA CIB,34,3770
2018/06,2018,JUN,PASIVOS,VISTA PJ SSFF,CUENTA CORRIENTE,AREA CIB,1,0
2018/06,2018,JUN,PASIVOS,VISTA PN RESTO,CUENTA CORRIENTE,AREA B.MINORISTA,232,2853
2018/07,2018,JUL,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.INSTITUCIONAL,4,0
2018/07,2018,JUL,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA B.MINORISTA,1800,23228
2018/07,2018,JUL,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA BCA.EMP. Y CORP,14,202
2018/07,2018,JUL,PASIVOS,AHORRO PJ,CONTIAHORRO,AREA CIB,1,36507
2018/07,2018,JUL,PASIVOS,CONTIAHORRO,CONTIAHORRO,AREA B.MINORISTA,384,1047
2018/07,2018,JUL,PASIVOS,CTS,C.T.S.,AREA B.MINORISTA,2321,2455
2018/07,2018,JUL,PASIVOS,CTS,C.T.S.,AREA DIST.RED MASIVA,73,9
2018/07,2018,JUL,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA B.MINORISTA,47054,98185
2018/07,2018,JUL,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA BCA.EMP. Y CORP,2,0
2018/07,2018,JUL,PASIVOS,CUENTA FACIL,CONTIAHORRO,AREA DIST.RED MASIVA,98,174
2018/07,2018,JUL,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA B.MINORISTA,1253,36257
2018/07,2018,JUL,PASIVOS,CUENTA GANADORA,CONTIAHORRO,AREA DIST.RED MASIVA,1,1
2018/07,2018,JUL,PASIVOS,CUENTA INDEPENDENCIA,CONTIAHORRO,AREA B.MINORISTA,62900,209416
